date,month,year
2010-03-21,3,2010
2010-03-27,3,2010
2010-03-31,3,2010
2010-04-10,4,2010
2010-05-08,5,2010
2010-05-29,5,2010
2010-06-12,6,2010
2010-06-19,6,2010
2010-07-03,7,2010
2010-08-01,8,2010
2010-08-07,8,2010
2010-08-28,8,2010
2010-09-15,9,2010
2010-09-25,9,2010
2010-10-16,10,2010
2010-10-23,10,2010
2010-11-13,11,2010
2010-11-20,11,2010
2010-12-04,12,2010
2010-12-11,12,2010
2011-01-01,1,2011
2011-01-22,1,2011
2011-02-05,2,2011
2011-02-26,2,2011
2011-03-03,3,2011
2011-03-19,3,2011
2011-03-26,3,2011
2011-04-30,4,2011
2011-05-28,5,2011
2011-06-04,6,2011
2011-06-11,6,2011
2011-06-26,6,2011
2011-07-02,7,2011
2011-08-06,8,2011
2011-08-14,8,2011
2011-08-27,8,2011
2011-09-17,9,2011
2011-09-24,9,2011
2011-10-01,10,2011
2011-10-08,10,2011
2011-10-29,10,2011
2011-11-05,11,2011
2011-11-12,11,2011
2011-11-19,11,2011
2011-12-03,12,2011
2011-12-10,12,2011
2011-12-30,12,2011
2012-01-14,1,2012
2012-01-20,1,2012
2012-01-28,1,2012
2012-02-04,2,2012
2012-02-15,2,2012
2012-02-25,2,2012
2012-03-02,3,2012
2012-04-14,4,2012
2012-04-21,4,2012
2012-05-05,5,2012
2012-05-15,5,2012
2012-05-26,5,2012
2012-06-01,6,2012
2012-06-08,6,2012
2012-06-22,6,2012
2012-06-23,6,2012
2012-07-07,7,2012
2012-07-11,7,2012
2012-07-21,7,2012
2012-08-04,8,2012
2012-08-11,8,2012
2012-09-22,9,2012
2012-09-29,9,2012
2012-10-05,10,2012
2012-10-13,10,2012
2012-11-10,11,2012
2012-11-17,11,2012
2012-12-08,12,2012
2012-12-14,12,2012
2012-12-15,12,2012
2012-12-29,12,2012
2013-01-19,1,2013
2013-01-26,1,2013
2013-02-02,2,2013
2013-02-16,2,2013
2013-02-23,2,2013
2013-03-02,3,2013
2013-03-16,3,2013
2013-04-06,4,2013
2013-04-13,4,2013
2013-04-20,4,2013
2013-04-27,4,2013
2013-05-18,5,2013
2013-05-25,5,2013
2013-06-08,6,2013
2013-06-15,6,2013
2013-07-06,7,2013
2013-07-27,7,2013
2013-08-03,8,2013
2013-08-17,8,2013
2013-08-28,8,2013
2013-08-31,8,2013
2013-09-04,9,2013
2013-09-21,9,2013
2013-10-09,10,2013
2013-10-19,10,2013
2013-10-26,10,2013
2013-11-06,11,2013
2013-11-09,11,2013
2013-11-16,11,2013
2013-11-30,11,2013
2013-12-06,12,2013
2013-12-14,12,2013
2013-12-28,12,2013
2014-01-04,1,2014
2014-01-15,1,2014
2014-01-25,1,2014
2014-02-01,2,2014
2014-02-15,2,2014
2014-02-22,2,2014
2014-03-01,3,2014
2014-03-08,3,2014
2014-03-15,3,2014
2014-03-23,3,2014
2014-04-11,4,2014
2014-04-16,4,2014
2014-04-19,4,2014
2014-04-26,4,2014
2014-05-10,5,2014
2014-05-24,5,2014
2014-05-31,5,2014
2014-06-07,6,2014
2014-06-14,6,2014
2014-06-28,6,2014
2014-07-05,7,2014
2014-07-06,7,2014
2014-07-16,7,2014
2014-07-19,7,2014
2014-07-26,7,2014
2014-08-16,8,2014
2014-08-23,8,2014
2014-08-30,8,2014
2014-09-05,9,2014
2014-09-13,9,2014
2014-09-20,9,2014
2014-09-27,9,2014
2014-10-04,10,2014
2014-10-25,10,2014
2014-11-07,11,2014
2014-11-08,11,2014
2014-11-15,11,2014
2014-11-22,11,2014
2014-12-06,12,2014
2014-12-12,12,2014
2014-12-13,12,2014
2014-12-20,12,2014
2015-01-03,1,2015
2015-01-18,1,2015
2015-01-24,1,2015
2015-01-31,1,2015
2015-02-14,2,2015
2015-02-22,2,2015
2015-02-28,2,2015
2015-03-14,3,2015
2015-03-21,3,2015
2015-04-04,4,2015
2015-04-11,4,2015
2015-04-18,4,2015
2015-04-25,4,2015
2015-05-09,5,2015
2015-05-16,5,2015
2015-05-23,5,2015
2015-05-30,5,2015
2015-06-06,6,2015
2015-06-13,6,2015
2015-06-20,6,2015
2015-06-27,6,2015
2015-07-11,7,2015
2015-07-12,7,2015
2015-07-15,7,2015
2015-07-18,7,2015
2015-07-25,7,2015
2015-08-01,8,2015
2015-08-08,8,2015
2015-08-23,8,2015
2015-09-05,9,2015
2015-09-26,9,2015
2015-10-03,10,2015
2015-10-24,10,2015
2015-11-07,11,2015
2015-11-14,11,2015
2015-11-21,11,2015
2015-11-28,11,2015
2015-12-10,12,2015
2015-12-11,12,2015
2015-12-12,12,2015
2015-12-19,12,2015
2016-01-02,1,2016
2016-01-17,1,2016
2016-01-30,1,2016
2016-02-06,2,2016
2016-02-21,2,2016
2016-02-27,2,2016
2016-03-05,3,2016
2016-03-19,3,2016
2016-04-10,4,2016
2016-04-16,4,2016
2016-04-23,4,2016
2016-05-08,5,2016
2016-05-14,5,2016
2016-05-29,5,2016
2016-06-04,6,2016
2016-06-18,6,2016
2016-07-07,7,2016
2016-07-08,7,2016
2016-07-09,7,2016
2016-07-13,7,2016
2016-07-23,7,2016
2016-07-30,7,2016
2016-08-06,8,2016
2016-08-20,8,2016
2016-08-27,8,2016
2016-09-03,9,2016
2016-09-10,9,2016
2016-09-17,9,2016
2016-09-24,9,2016
2016-10-01,10,2016
2016-10-08,10,2016
2016-11-05,11,2016
2016-11-12,11,2016
2016-11-19,11,2016
2016-11-26,11,2016
2016-12-03,12,2016
2016-12-09,12,2016
2016-12-10,12,2016
2016-12-17,12,2016
2016-12-30,12,2016
2017-01-15,1,2017
2017-01-28,1,2017
2017-02-04,2,2017
2017-02-11,2,2017
2017-02-19,2,2017
2017-03-04,3,2017
2017-03-11,3,2017
2017-03-18,3,2017
2017-04-08,4,2017
2017-04-15,4,2017
2017-04-22,4,2017
2017-05-13,5,2017
2017-05-28,5,2017
2017-06-03,6,2017
2017-06-10,6,2017
2017-06-17,6,2017
2017-06-25,6,2017
2017-07-07,7,2017
2017-07-08,7,2017
2017-07-16,7,2017
2017-07-22,7,2017
2017-07-29,7,2017
2017-08-05,8,2017
2017-09-02,9,2017
2017-09-09,9,2017
2017-09-16,9,2017
2017-09-22,9,2017
2017-10-07,10,2017
2017-10-21,10,2017
2017-10-28,10,2017
2017-11-04,11,2017
2017-11-11,11,2017
2017-11-18,11,2017
2017-11-25,11,2017
2017-12-01,12,2017
2017-12-02,12,2017
2017-12-09,12,2017
2017-12-16,12,2017
2017-12-30,12,2017
2018-01-14,1,2018
2018-01-20,1,2018
2018-01-27,1,2018
2018-02-03,2,2018
2018-02-10,2,2018
2018-02-18,2,2018
2018-02-24,2,2018
2018-03-03,3,2018
2018-03-17,3,2018
2018-04-07,4,2018
2018-04-14,4,2018
2018-04-21,4,2018
2018-05-12,5,2018
2018-05-19,5,2018
2018-05-27,5,2018
2018-06-01,6,2018
2018-06-09,6,2018
2018-06-23,6,2018
2018-07-06,7,2018
2018-07-07,7,2018
2018-07-14,7,2018
2018-07-22,7,2018
2018-07-28,7,2018
2018-08-04,8,2018
2018-08-25,8,2018
2018-09-08,9,2018
2018-09-15,9,2018
2018-09-22,9,2018
2018-10-06,10,2018
2018-10-27,10,2018
2018-11-03,11,2018
2018-11-10,11,2018
2018-11-17,11,2018
2018-11-24,11,2018
2018-11-30,11,2018
2018-12-01,12,2018
2018-12-08,12,2018
2018-12-15,12,2018
2018-12-29,12,2018
2019-01-19,1,2019
2019-02-02,2,2019
2019-02-09,2,2019
2019-02-17,2,2019
2019-02-23,2,2019
2019-03-02,3,2019
2019-03-09,3,2019
2019-03-16,3,2019
2019-03-23,3,2019
2019-03-30,3,2019
2019-04-13,4,2019
2019-04-20,4,2019
2019-04-27,4,2019
2019-05-04,5,2019
2019-05-11,5,2019
2019-05-18,5,2019
2019-06-01,6,2019
2019-06-08,6,2019
2019-06-22,6,2019
2019-06-29,6,2019
2019-07-06,7,2019
2019-07-13,7,2019
2019-07-20,7,2019
2019-07-27,7,2019
2019-08-03,8,2019
2019-08-10,8,2019
2019-08-17,8,2019
2019-08-31,8,2019
2019-09-07,9,2019
2019-09-14,9,2019
2019-09-21,9,2019
2019-09-28,9,2019
2019-10-05,10,2019
2019-10-12,10,2019
2019-10-18,10,2019
2019-10-26,10,2019
2019-11-02,11,2019
2019-11-09,11,2019
2019-11-16,11,2019
2019-12-07,12,2019
2019-12-14,12,2019
2019-12-21,12,2019
2020-01-18,1,2020
2020-01-25,1,2020
2020-02-08,2,2020
2020-02-15,2,2020
2020-02-22,2,2020
2020-02-29,2,2020
2020-03-07,3,2020
2020-03-14,3,2020
2020-05-09,5,2020
2020-05-13,5,2020
2020-05-16,5,2020
2020-05-30,5,2020
2020-06-06,6,2020
2020-06-13,6,2020
2020-06-20,6,2020
2020-06-27,6,2020
2020-07-11,7,2020
2020-07-15,7,2020
2020-07-18,7,2020
2020-07-25,7,2020
2020-08-01,8,2020
2020-08-08,8,2020
2020-08-15,8,2020
2020-08-22,8,2020
2020-08-29,8,2020
2020-09-05,9,2020
2020-09-12,9,2020
2020-09-19,9,2020
2020-09-26,9,2020
2020-10-03,10,2020
2020-10-10,10,2020
2020-10-17,10,2020
2020-10-24,10,2020
2020-10-31,10,2020
2020-11-07,11,2020
2020-11-14,11,2020
2020-11-21,11,2020
2020-11-28,11,2020
2020-12-05,12,2020
2020-12-12,12,2020
2020-12-19,12,2020
2021-01-16,1,2021
2021-01-20,1,2021
2021-01-23,1,2021
2021-02-06,2,2021
2021-02-13,2,2021
2021-02-20,2,2021
2021-02-27,2,2021
2021-03-06,3,2021
2021-03-13,3,2021
2021-03-20,3,2021
