finish,finishdetails,winner,finishround,totalfighttimesecs
KO/TKO,Punches,Blue,1.0,286.0
KO/TKO,Punch,Red,1.0,167.0
SUB,Rear Naked Choke,Red,2.0,561.0
SUB,Rear Naked Choke,Blue,1.0,230.0
KO/TKO,Kick,Red,2.0,363.0
SUB,Rear Naked Choke,Red,2.0,565.0
KO/TKO,Punches,Red,2.0,597.0
KO/TKO,Punches,Blue,2.0,517.0
KO/TKO,Elbow,Red,1.0,138.0
SUB,Kimura,Red,1.0,234.0
KO/TKO,Punch,Red,3.0,708.0
KO/TKO,Punch,Red,3.0,768.0
KO/TKO,Punch,Red,1.0,298.0
SUB,Rear Naked Choke,Red,1.0,168.0
KO/TKO,Punch,Blue,1.0,118.0
SUB,Guillotine Choke,Blue,1.0,132.0
KO/TKO,Punch,Red,1.0,114.0
KO/TKO,Knee,Blue,2.0,557.0
SUB,Guillotine Choke,Blue,2.0,453.0
SUB,Guillotine Choke,Blue,1.0,228.0
SUB,Arm Triangle,Red,3.0,752.0
KO/TKO,Punch,Red,1.0,263.0
SUB,Triangle Choke,Blue,2.0,520.0
DQ,,Red,1.0,300.0
KO/TKO,Punch,Blue,1.0,284.0
KO/TKO,Punches,Blue,1.0,154.0
SUB,Guillotine Choke,Red,1.0,39.0
KO/TKO,Punch,Blue,4.0,998.0
SUB,Rear Naked Choke,Blue,1.0,238.0
KO/TKO,Punch,Red,3.0,899.0
SUB,Rear Naked Choke,Blue,2.0,569.0
SUB,Triangle Choke,Red,3.0,899.0
KO/TKO,Knees,Blue,1.0,53.0
SUB,Omoplata,Blue,2.0,419.0
SUB,Guillotine Choke,Blue,2.0,497.0
KO/TKO,Punch,Red,4.0,933.0
KO/TKO,Punch,Red,2.0,359.0
KO/TKO,Punch,Blue,3.0,736.0
KO/TKO,Punches,Blue,2.0,522.0
KO/TKO,Punch,Red,2.0,552.0
SUB,Rear Naked Choke,Blue,1.0,268.0
KO/TKO,,Blue,5.0,1338.0
KO/TKO,Knee,Blue,1.0,180.0
KO/TKO,,Blue,3.0,900.0
KO/TKO,Kick,Red,2.0,460.0
SUB,Other - Choke,Red,1.0,105.0
KO/TKO,Punches,Red,5.0,1356.0
SUB,Arm Triangle,Red,1.0,285.0
KO/TKO,Kick,Red,1.0,220.0
KO/TKO,Punch,Red,3.0,823.0
SUB,Rear Naked Choke,Red,1.0,147.0
SUB,Rear Naked Choke,Red,1.0,268.0
KO/TKO,Punches,Blue,3.0,730.0
KO/TKO,Kick,Blue,2.0,360.0
SUB,Rear Naked Choke,Blue,1.0,164.0
SUB,Kneebar,Red,3.0,743.0
KO/TKO,Slam,Red,1.0,39.0
KO/TKO,Punch,Blue,1.0,175.0
KO/TKO,Kick,Red,1.0,33.0
SUB,Other - Choke,Red,3.0,761.0
SUB,Rear Naked Choke,Red,1.0,271.0
KO/TKO,Punch,Blue,1.0,213.0
KO/TKO,Punch,Blue,2.0,407.0
SUB,Rear Naked Choke,Red,2.0,425.0
KO/TKO,Knee,Red,1.0,272.0
SUB,Arm Triangle,Red,2.0,546.0
KO/TKO,Punches,Blue,2.0,475.0
KO/TKO,Kick,Blue,1.0,33.0
SUB,D'Arce Choke,Blue,2.0,438.0
SUB,Rear Naked Choke,Red,3.0,775.0
KO/TKO,Elbows,Blue,3.0,776.0
SUB,Guillotine Choke,Blue,1.0,138.0
KO/TKO,Punches,Blue,1.0,50.0
KO/TKO,Elbow,Blue,2.0,599.0
SUB,Armbar,Red,1.0,174.0
KO/TKO,Elbow,Blue,2.0,580.0
KO/TKO,Punch,Blue,1.0,208.0
SUB,Rear Naked Choke,Red,2.0,595.0
SUB,Guillotine Choke,Red,1.0,212.0
KO/TKO,Elbows,Red,2.0,512.0
KO/TKO,Punches,Red,1.0,148.0
SUB,Triangle Choke,Blue,2.0,352.0
KO/TKO,Punches,Blue,1.0,273.0
KO/TKO,Punches,Blue,2.0,458.0
KO/TKO,Punch,Blue,3.0,689.0
SUB,Rear Naked Choke,Red,2.0,420.0
KO/TKO,Punch,Blue,1.0,172.0
KO/TKO,Punch,Blue,2.0,369.0
KO/TKO,Punch,Red,2.0,493.0
SUB,Triangle Choke,Blue,1.0,59.0
KO/TKO,Elbows,Blue,1.0,193.0
KO/TKO,Punches,Blue,2.0,545.0
KO/TKO,Elbows,Blue,1.0,265.0
KO/TKO,Punches,Red,1.0,259.0
SUB,Armbar,Blue,1.0,283.0
KO/TKO,Punches,Red,1.0,226.0
KO/TKO,Punch,Red,2.0,593.0
KO/TKO,Punches,Red,2.0,361.0
KO/TKO,Kick,Red,3.0,882.0
KO/TKO,Punch,Blue,1.0,146.0
KO/TKO,Flying Knee,Red,2.0,448.0
KO/TKO,Punch,Blue,2.0,488.0
KO/TKO,Punch,Red,1.0,87.0
SUB,Heel Hook,Red,1.0,91.0
SUB,Kneebar,Red,2.0,522.0
KO/TKO,Punches,Blue,3.0,873.0
KO/TKO,Elbow,Blue,2.0,437.0
KO/TKO,Kick,Red,2.0,383.0
KO/TKO,Punch,Red,1.0,118.0
SUB,Rear Naked Choke,Red,1.0,89.0
SUB,D'Arce Choke,Red,2.0,559.0
SUB,Kneebar,Red,2.0,526.0
SUB,Arm Triangle,Blue,2.0,342.0
SUB,Arm Triangle,Red,2.0,461.0
KO/TKO,Punches,Red,2.0,600.0
KO/TKO,Kick,Red,1.0,189.0
SUB,Rear Naked Choke,Blue,1.0,266.0
KO/TKO,Punches,Red,3.0,843.0
SUB,Rear Naked Choke,Red,2.0,502.0
KO/TKO,Flying Knee,Red,2.0,380.0
KO/TKO,Knee,Red,2.0,550.0
SUB,Guillotine Choke,Red,1.0,81.0
SUB,Armbar,Red,1.0,295.0
KO/TKO,Punch,Blue,2.0,360.0
SUB,Arm Triangle,Red,2.0,582.0
KO/TKO,,Red,3.0,900.0
KO/TKO,Punches,Red,3.0,889.0
KO/TKO,Kick,Blue,2.0,379.0
SUB,Neck Crank,Red,4.0,1083.0
KO/TKO,Kick,Blue,3.0,660.0
KO/TKO,Elbows,Red,3.0,822.0
KO/TKO,Punches,Red,1.0,232.0
KO/TKO,Punch,Red,1.0,251.0
SUB,Arm Triangle,Red,1.0,160.0
KO/TKO,Punch,Blue,2.0,490.0
KO/TKO,Kick,Blue,2.0,314.0
SUB,Rear Naked Choke,Blue,3.0,866.0
KO/TKO,Punches,Blue,3.0,766.0
SUB,Rear Naked Choke,Red,2.0,434.0
KO/TKO,Punches,Blue,2.0,339.0
KO/TKO,Punches,Blue,1.0,291.0
SUB,Armbar,Red,1.0,131.0
KO/TKO,Elbow,Blue,5.0,1499.0
Overturned,D'Arce Choke,Blue,2.0,463.0
SUB,Rear Naked Choke,Red,1.0,117.0
KO/TKO,Punches,Red,1.0,46.0
SUB,Armbar,Red,1.0,286.0
KO/TKO,Punches,Red,2.0,421.0
SUB,Rear Naked Choke,Red,1.0,288.0
SUB,Rear Naked Choke,Blue,2.0,391.0
KO/TKO,Elbow,Blue,1.0,117.0
SUB,Guillotine Choke,Red,1.0,62.0
KO/TKO,Punch,Blue,4.0,1056.0
KO/TKO,Elbows,Red,3.0,849.0
KO/TKO,Punch,Blue,1.0,45.0
SUB,Rear Naked Choke,Red,3.0,845.0
SUB,Armbar,Blue,2.0,427.0
SUB,Armbar,Red,1.0,221.0
SUB,Armbar,Red,1.0,216.0
SUB,Rear Naked Choke,Blue,2.0,431.0
KO/TKO,Kick,Red,1.0,159.0
SUB,Rear Naked Choke,Red,2.0,552.0
SUB,Guillotine Choke,Red,1.0,290.0
KO/TKO,Punches,Red,1.0,78.0
SUB,Anaconda Choke,Blue,3.0,679.0
SUB,Kimura,Red,3.0,891.0
KO/TKO,Punches,Red,2.0,450.0
KO/TKO,Punches,Red,3.0,643.0
KO/TKO,Punches,Blue,1.0,134.0
SUB,Rear Naked Choke,Blue,2.0,557.0
KO/TKO,Spinning Back Fist,Blue,1.0,245.0
KO/TKO,Punch,Blue,2.0,341.0
KO/TKO,,Red,4.0,1200.0
KO/TKO,Knee,Blue,1.0,179.0
KO/TKO,Knee,Blue,3.0,658.0
KO/TKO,Punches,Red,3.0,739.0
SUB,Guillotine Choke,Blue,1.0,265.0
KO/TKO,Punches,Blue,3.0,759.0
SUB,Rear Naked Choke,Blue,1.0,75.0
SUB,Heel Hook,Blue,1.0,166.0
SUB,D'Arce Choke,Blue,1.0,100.0
SUB,Kimura,Blue,2.0,356.0
KO/TKO,Kick,Blue,1.0,61.0
KO/TKO,Punches,Blue,2.0,554.0
KO/TKO,Punches,Red,3.0,722.0
SUB,Rear Naked Choke,Red,3.0,852.0
KO/TKO,Kick,Blue,2.0,523.0
KO/TKO,Punch,Red,1.0,236.0
SUB,Armbar,Red,1.0,211.0
SUB,Arm Triangle,Red,1.0,201.0
DQ,,Blue,2.0,448.0
KO/TKO,Punches,Red,1.0,32.0
SUB,Rear Naked Choke,Blue,1.0,145.0
SUB,Armbar,Red,2.0,410.0
SUB,Anaconda Choke,Red,2.0,355.0
KO/TKO,Spinning Back Fist,Red,1.0,15.0
KO/TKO,Punches,Red,2.0,344.0
KO/TKO,Kick,Blue,2.0,354.0
SUB,Anaconda Choke,Red,2.0,367.0
SUB,Guillotine Choke,Blue,1.0,197.0
KO/TKO,Spinning Back Kick,Blue,1.0,148.0
KO/TKO,Punch,Red,1.0,233.0
KO/TKO,Punches,Red,1.0,169.0
SUB,Kimura,Red,1.0,295.0
SUB,Armbar,Red,2.0,457.0
SUB,Rear Naked Choke,Blue,1.0,239.0
SUB,Rear Naked Choke,Blue,1.0,126.0
SUB,Guillotine Choke,Blue,1.0,189.0
KO/TKO,Punches,Red,1.0,26.0
KO/TKO,Punch,Blue,2.0,361.0
KO/TKO,Knee,Red,3.0,894.0
SUB,Rear Naked Choke,Blue,2.0,370.0
KO/TKO,Punch,Blue,1.0,94.0
SUB,Arm Triangle,Red,2.0,441.0
SUB,Rear Naked Choke,Blue,2.0,507.0
KO/TKO,Punch,Blue,1.0,292.0
KO/TKO,Elbows,Red,1.0,38.0
KO/TKO,Punch,Blue,1.0,109.0
KO/TKO,Flying Knee,Blue,1.0,36.0
SUB,Other - Choke,Blue,1.0,200.0
SUB,Armbar,Red,2.0,581.0
KO/TKO,Punches,Blue,2.0,418.0
SUB,Triangle Choke,Blue,1.0,198.0
KO/TKO,Punch,Blue,1.0,290.0
SUB,Rear Naked Choke,Blue,1.0,77.0
SUB,Armbar,Blue,3.0,757.0
KO/TKO,Punch,Blue,2.0,485.0
KO/TKO,Punches,Red,2.0,582.0
SUB,Rear Naked Choke,Red,2.0,466.0
KO/TKO,Punch,Red,1.0,85.0
KO/TKO,Punches,Red,2.0,481.0
SUB,Armbar,Red,1.0,264.0
SUB,Guillotine Choke,Blue,1.0,49.0
KO/TKO,Punch,Red,3.0,854.0
SUB,Triangle Choke,Blue,3.0,860.0
KO/TKO,Punches,Blue,1.0,172.0
SUB,Rear Naked Choke,Red,2.0,372.0
SUB,Rear Naked Choke,Blue,2.0,450.0
KO/TKO,Punch,Blue,1.0,178.0
SUB,Other - Choke,Red,2.0,490.0
KO/TKO,Knee,Red,1.0,285.0
KO/TKO,Spinning Back Kick,Red,1.0,86.0
KO/TKO,Punches,Blue,2.0,495.0
KO/TKO,Elbows,Blue,2.0,378.0
SUB,Rear Naked Choke,Red,2.0,555.0
SUB,Rear Naked Choke,Red,1.0,132.0
SUB,Arm Triangle,Blue,3.0,796.0
KO/TKO,Punches,Red,2.0,442.0
KO/TKO,Knees,Red,1.0,50.0
SUB,Armbar,Red,3.0,804.0
KO/TKO,Kick,Red,1.0,287.0
KO/TKO,Elbows,Red,2.0,589.0
KO/TKO,Punch,Blue,1.0,127.0
KO/TKO,Slam,Blue,2.0,478.0
KO/TKO,Punch,Blue,3.0,648.0
KO/TKO,Punch,Red,3.0,853.0
KO/TKO,Punch,Red,2.0,431.0
KO/TKO,Flying Knee,Blue,1.0,107.0
KO/TKO,Kick,Red,3.0,709.0
SUB,Rear Naked Choke,Blue,1.0,204.0
SUB,Rear Naked Choke,Blue,2.0,447.0
KO/TKO,Knee,Blue,1.0,219.0
SUB,Arm Triangle,Red,4.0,1127.0
KO/TKO,Punch,Red,1.0,232.0
SUB,Guillotine Choke,Red,3.0,841.0
SUB,Rear Naked Choke,Blue,4.0,1058.0
SUB,Rear Naked Choke,Red,2.0,419.0
KO/TKO,Kick,Blue,1.0,47.0
SUB,Anaconda Choke,Red,2.0,565.0
KO/TKO,Punches,Blue,2.0,596.0
KO/TKO,Punch,Blue,1.0,246.0
KO/TKO,Punches,Blue,1.0,9.0
KO/TKO,Kick,Blue,3.0,774.0
KO/TKO,Punches,Blue,3.0,674.0
KO/TKO,Punch,Blue,1.0,58.0
KO/TKO,Punch,Red,1.0,199.0
KO/TKO,Punch,Red,3.0,642.0
KO/TKO,Punch,Red,1.0,78.0
KO/TKO,Punch,Blue,1.0,124.0
KO/TKO,Kick,Red,1.0,250.0
SUB,Rear Naked Choke,Red,1.0,72.0
KO/TKO,Punch,Red,2.0,399.0
KO/TKO,Flying Knee,Red,1.0,5.0
SUB,Rear Naked Choke,Red,2.0,505.0
KO/TKO,Punch,Red,1.0,187.0
KO/TKO,Punches,Red,1.0,265.0
KO/TKO,Knee,Blue,3.0,834.0
KO/TKO,Punches,Red,1.0,45.0
KO/TKO,Punch,Blue,1.0,153.0
KO/TKO,Punches,Red,2.0,459.0
KO/TKO,Elbows,Red,2.0,553.0
KO/TKO,Kick,Red,3.0,849.0
SUB,Rear Naked Choke,Red,2.0,380.0
SUB,Neck Crank,Red,1.0,155.0
SUB,Guillotine Choke,Red,1.0,58.0
KO/TKO,Punch,Blue,2.0,336.0
SUB,Triangle Choke,Blue,1.0,83.0
KO/TKO,Knee,Red,3.0,706.0
SUB,Guillotine Choke,Blue,3.0,709.0
SUB,Arm Triangle,Red,2.0,566.0
KO/TKO,,Red,1.0,176.0
SUB,Armbar,Red,1.0,69.0
KO/TKO,Punch,Red,2.0,571.0
KO/TKO,Punches,Blue,4.0,1149.0
KO/TKO,Punch,Blue,1.0,254.0
SUB,Anaconda Choke,Blue,2.0,579.0
SUB,Rear Naked Choke,Red,3.0,715.0
KO/TKO,Elbow,Red,2.0,442.0
SUB,Rear Naked Choke,Red,3.0,726.0
KO/TKO,Elbows,Blue,3.0,746.0
KO/TKO,Punch,Blue,1.0,266.0
KO/TKO,Punch,Red,1.0,213.0
KO/TKO,Punch,Blue,1.0,258.0
KO/TKO,Punch,Red,1.0,283.0
SUB,Peruvian Necktie,Red,1.0,218.0
KO/TKO,Elbow,Blue,3.0,716.0
KO/TKO,Spinning Back Fist,Blue,2.0,391.0
KO/TKO,Punch,Blue,1.0,96.0
KO/TKO,Elbows,Red,1.0,155.0
SUB,Rear Naked Choke,Red,3.0,771.0
KO/TKO,Punches,Red,1.0,72.0
SUB,Other - Choke,Blue,2.0,466.0
KO/TKO,Punch,Blue,1.0,130.0
SUB,Arm Triangle,Red,3.0,780.0
SUB,Triangle Choke,Red,1.0,237.0
KO/TKO,Punch,Blue,2.0,599.0
KO/TKO,Punch,Blue,2.0,513.0
SUB,Arm Triangle,Blue,2.0,494.0
SUB,Guillotine Choke,Red,1.0,188.0
KO/TKO,Elbows,Red,3.0,797.0
KO/TKO,Kick,Red,2.0,452.0
KO/TKO,Punch,Red,3.0,885.0
KO/TKO,Kick,Red,1.0,104.0
SUB,Guillotine Choke,Red,2.0,421.0
SUB,Armbar,Red,1.0,166.0
KO/TKO,Punches,Red,1.0,103.0
KO/TKO,Punches,Red,1.0,93.0
KO/TKO,Punch,Red,1.0,135.0
SUB,Rear Naked Choke,Red,3.0,834.0
SUB,Rear Naked Choke,Blue,1.0,122.0
KO/TKO,Punches,Blue,1.0,131.0
KO/TKO,Punch,Blue,1.0,29.0
KO/TKO,Kick,Blue,1.0,147.0
KO/TKO,Punches,Red,1.0,127.0
KO/TKO,Kick,Red,1.0,167.0
KO/TKO,Punch,Red,3.0,723.0
KO/TKO,Punch,Red,3.0,872.0
SUB,Triangle Choke,Blue,1.0,170.0
KO/TKO,Kick,Red,3.0,629.0
SUB,Rear Naked Choke,Blue,3.0,841.0
KO/TKO,Punch,Blue,2.0,594.0
KO/TKO,Punch,Red,1.0,86.0
SUB,Rear Naked Choke,Red,1.0,237.0
KO/TKO,Punch,Blue,3.0,859.0
SUB,Triangle Choke,Blue,2.0,382.0
KO/TKO,Punch,Blue,5.0,1496.0
KO/TKO,Punches,Red,3.0,633.0
SUB,Triangle Choke,Red,2.0,498.0
SUB,Other - Lock,Red,1.0,260.0
KO/TKO,Punch,Red,3.0,849.0
SUB,Rear Naked Choke,Red,2.0,376.0
KO/TKO,Punches,Blue,2.0,597.0
SUB,Guillotine Choke,Blue,1.0,158.0
KO/TKO,Elbows,Red,1.0,274.0
KO/TKO,Punches,Red,1.0,90.0
KO/TKO,Punch,Red,5.0,1450.0
KO/TKO,Punch,Blue,1.0,291.0
KO/TKO,Punches,Red,2.0,595.0
KO/TKO,Punch,Red,1.0,197.0
KO/TKO,Punches,Blue,2.0,572.0
KO/TKO,Punches,Blue,1.0,198.0
SUB,Rear Naked Choke,Blue,1.0,223.0
SUB,Armbar,Red,2.0,578.0
SUB,Rear Naked Choke,Blue,2.0,406.0
KO/TKO,Punches,Red,1.0,40.0
KO/TKO,Punch,Red,1.0,70.0
SUB,Rear Naked Choke,Red,3.0,773.0
KO/TKO,Elbows,Blue,2.0,566.0
KO/TKO,Knee,Red,1.0,163.0
SUB,Arm Triangle,Blue,1.0,153.0
Overturned,Punch,Blue,1.0,38.0
KO/TKO,Flying Knee,Blue,2.0,401.0
KO/TKO,Punches,Red,3.0,663.0
DQ,,Red,1.0,242.0
KO/TKO,Punch,Blue,1.0,188.0
DQ,,Red,3.0,789.0
KO/TKO,Punch,Red,3.0,616.0
KO/TKO,Punch,Blue,2.0,582.0
SUB,Guillotine Choke,Blue,2.0,517.0
KO/TKO,Punches,Blue,1.0,201.0
KO/TKO,Punches,Blue,1.0,85.0
KO/TKO,Punches,Red,1.0,287.0
KO/TKO,Punches,Red,1.0,217.0
KO/TKO,Punches,Blue,1.0,38.0
SUB,Guillotine Choke,Red,2.0,518.0
KO/TKO,Punch,Blue,2.0,414.0
KO/TKO,Punch,Red,1.0,211.0
SUB,Rear Naked Choke,Red,3.0,733.0
SUB,Arm Triangle,Red,1.0,178.0
KO/TKO,Punches,Red,1.0,122.0
KO/TKO,Punch,Blue,1.0,154.0
SUB,Guillotine Choke,Blue,3.0,628.0
SUB,Rear Naked Choke,Red,1.0,44.0
KO/TKO,Knee,Red,2.0,598.0
KO/TKO,Elbow,Blue,2.0,469.0
KO/TKO,Punch,Blue,5.0,1419.0
KO/TKO,Punches,Blue,5.0,1264.0
KO/TKO,Elbow,Red,2.0,349.0
SUB,Ankle Lock,Blue,2.0,325.0
KO/TKO,Punches,Red,2.0,480.0
KO/TKO,Knees,Red,1.0,39.0
KO/TKO,Punch,Red,2.0,318.0
KO/TKO,Kick,Red,2.0,567.0
KO/TKO,Knee,Red,1.0,111.0
SUB,Guillotine Choke,Blue,1.0,183.0
SUB,Kneebar,Red,1.0,156.0
SUB,Rear Naked Choke,Red,2.0,506.0
SUB,Arm Triangle,Blue,2.0,498.0
SUB,Rear Naked Choke,Red,1.0,88.0
KO/TKO,Punches,Blue,2.0,370.0
SUB,Rear Naked Choke,Blue,1.0,80.0
KO/TKO,Punch,Red,1.0,74.0
KO/TKO,Kick,Blue,1.0,246.0
KO/TKO,Punches,Red,1.0,22.0
SUB,Rear Naked Choke,Blue,1.0,257.0
SUB,Rear Naked Choke,Red,1.0,162.0
KO/TKO,Punch,Red,1.0,32.0
SUB,Rear Naked Choke,Blue,3.0,876.0
KO/TKO,Punches,Blue,1.0,41.0
SUB,Armbar,Red,1.0,145.0
KO/TKO,Punches,Red,2.0,590.0
SUB,Arm Triangle,Blue,3.0,824.0
SUB,Armbar,Red,3.0,746.0
SUB,Guillotine Choke,Blue,3.0,773.0
SUB,D'Arce Choke,Blue,3.0,764.0
SUB,Armbar,Red,1.0,141.0
SUB,Anaconda Choke,Red,1.0,195.0
KO/TKO,Punch,Blue,3.0,758.0
KO/TKO,Punches,Red,5.0,1404.0
KO/TKO,Punch,Blue,2.0,349.0
SUB,Armbar,Blue,1.0,163.0
SUB,D'Arce Choke,Blue,2.0,372.0
SUB,Kneebar,Red,1.0,88.0
SUB,Heel Hook,Red,1.0,78.0
SUB,Guillotine Choke,Blue,1.0,145.0
SUB,Triangle Choke,Blue,1.0,282.0
KO/TKO,Kick,Red,1.0,255.0
SUB,Armbar,Red,1.0,150.0
KO/TKO,Punch,Red,3.0,450.0
KO/TKO,Punches,Red,1.0,189.0
SUB,Rear Naked Choke,Blue,1.0,168.0
SUB,Triangle Choke,Red,1.0,126.0
KO/TKO,Punches,Red,3.0,626.0
KO/TKO,Knee,Blue,3.0,657.0
KO/TKO,Knee,Red,2.0,596.0
U-DEC,,Blue,,
KO/TKO,Knee,Red,,
SUB,Armbar,Blue,,
KO/TKO,Elbows,Blue,,
KO/TKO,Punch,Blue,,
U-DEC,,Red,,
SUB,Rear Naked Choke,Blue,,
KO/TKO,Punches,Red,,
KO/TKO,,Blue,,
KO/TKO,Elbow,Blue,,
KO/TKO,Punches,Blue,,
S-DEC,,Blue,,
SUB,Rear Naked Choke,Red,1.0,218.0
SUB,,Blue,3.0,900.0
SUB,Armbar,Red,1.0,113.0
SUB,Guillotine Choke,Red,2.0,407.0
KO/TKO,,Red,,
SUB,,Red,,
SUB,,Blue,,
S-DEC,,Red,,
M-DEC,,Red,,
DQ,,Blue,,
