"fighter","fights","wins","win_pct","avg_sig_str_rate","rank_sigstr","avg_td_landed","rank_td_landed","avg_ctrl_time_s","rank_ctrl_time","avg_avgkd","rank_avgkd","overall_rank"
"Anthony Hamilton","11","3","0.27","0.629","14","0.80","383","108.2","378","0.08","510","496"
"Mike Rodriguez","6","2","0.33","0.578","52","0.00","697","61.1","560","0.45","110","497"
"Russell Doane","8","3","0.38","0.428","453","1.21","258","206.1","131","0.18","372","498"
"Matt Hamill","6","3","0.50","0.398","563","1.40","207","99.3","409","0.08","519","498"
"Justin Salas","7","3","0.43","0.441","402","1.53","180","84.7","466","0.11","479","500"
"Garreth McLellan","5","1","0.20","0.602","29","0.55","476","165.2","218","0.00","552","501"
"Mike Massenzio","5","1","0.20","0.464","323","1.63","150","154.0","256","0.19","351","502"
"Pat Barry","9","3","0.33","0.562","76","0.00","697","38.1","637","0.85","10","503"
"Chris Cariaso","13","7","0.54","0.432","440","0.75","402","90.5","439","0.00","552","504"
"Greg Hardy","7","4","0.57","0.471","280","0.07","690","39.1","633","0.07","526","505"
"Holly Holm","12","7","0.58","0.349","685","0.46","514","140.7","285","0.16","396","506"
"Jim Miller","29","16","0.55","0.411","511","0.83","369","90.1","441","0.09","509","507"
"Amir Sadollah","7","3","0.43","0.465","311","0.66","426","122.1","331","0.00","552","508"
"Christos Giagos","8","4","0.50","0.372","641","1.36","220","145.5","275","0.00","552","509"
"Frank Mir","12","5","0.42","0.435","430","0.73","407","83.0","472","0.37","159","510"
"Alessio Di Chirico","9","4","0.44","0.418","493","1.38","216","70.0","521","0.22","315","511"
"Nicolas Dalby","6","3","0.50","0.380","626","1.42","204","125.2","321","0.00","552","512"
"JJ Aldrich","8","5","0.63","0.396","571","0.21","634","81.8","477","0.00","552","513"
"Andrew Holbrook","5","2","0.40","0.531","114","0.30","598","102.1","399","0.00","552","514"
"James Head","5","2","0.40","0.502","194","0.15","658","47.6","612","0.37","146","515"
"Joe Lauzon","20","10","0.50","0.381","623","1.20","265","119.3","340","0.10","483","516"
"Tor Troeng","5","1","0.20","0.554","82","0.60","452","170.4","200","0.00","552","517"
"Ilir Latifi","14","7","0.50","0.384","614","0.87","351","72.2","509","0.27","247","518"
"Alex Chambers","5","1","0.20","0.595","39","1.13","276","88.4","448","0.00","552","518"
"Andre Soukhamthath","7","2","0.29","0.438","415","0.89","347","114.1","358","0.76","15","520"
"Yuta Sasaki","10","5","0.50","0.437","418","1.01","304","52.2","593","0.00","552","521"
"Nick Ring","6","3","0.50","0.409","521","0.78","389","116.2","346","0.00","552","522"
"Court McGee","17","8","0.47","0.358","666","1.74","136","169.6","203","0.10","496","523"
"Piotr Hallmann","6","2","0.33","0.457","347","1.86","121","135.6","293","0.00","552","524"
"Efrain Escudero","9","3","0.33","0.422","479","0.75","400","153.9","257","0.48","90","525"
"Randa Markos","15","6","0.40","0.428","452","1.07","289","179.1","181","0.00","552","526"
"Eric Shelton","6","2","0.33","0.428","454","2.76","44","173.1","194","0.00","552","527"
"Andre Ewell","7","4","0.57","0.408","523","0.28","606","30.9","659","0.28","239","528"
"Alejandro Perez","10","7","0.70","0.344","697","0.43","523","39.2","632","0.00","552","529"
"Dave Herman","5","1","0.20","0.580","49","0.57","463","23.8","690","0.37","146","529"
"Cody Gibson","5","2","0.40","0.356","675","2.30","73","121.9","332","0.25","268","531"
"Diego Sanchez","19","9","0.47","0.390","594","0.94","332","189.0","166","0.09","500","532"
"Roy Nelson","18","8","0.44","0.357","669","0.78","390","113.9","360","0.52","78","533"
"Manvel Gamburyan","10","4","0.40","0.388","604","2.31","72","159.2","241","0.10","484","534"
"Nick Hein","9","5","0.56","0.376","631","0.74","404","70.4","520","0.22","316","535"
"Brandon Thatch","6","2","0.33","0.477","260","0.70","419","15.3","715","0.80","11","536"
"Carlos Condit","16","8","0.50","0.387","605","0.43","524","76.6","494","0.34","180","537"
"Maryna Moroz","7","5","0.71","0.306","725","0.17","652","62.9","556","0.00","552","538"
"Evan Dunham","17","8","0.47","0.384","612","1.42","203","157.7","245","0.06","538","539"
"Alex White","10","4","0.40","0.445","380","0.58","462","35.5","650","0.48","89","540"
"Gabriel Benitez","10","6","0.60","0.407","528","0.09","684","21.7","697","0.19","363","541"
"Chris Beal","5","2","0.40","0.363","662","1.03","300","136.1","292","0.37","146","542"
"Junior Albini","5","1","0.20","0.547","91","0.35","576","58.9","568","0.37","146","543"
"Hugo Viana","6","3","0.50","0.419","490","0.00","697","30.2","662","0.59","56","544"
"Eric Spicely","6","2","0.33","0.600","31","0.46","511","72.6","506","0.00","552","545"
"Andrei Arlovski","19","9","0.47","0.466","304","0.34","578","70.9","513","0.14","440","546"
"Steven Siler","9","5","0.56","0.432","439","0.32","585","69.4","528","0.10","494","547"
"Katlyn Chookagian","12","8","0.67","0.354","680","0.19","646","48.4","606","0.08","515","548"
"Sean O'Connell","8","2","0.25","0.520","138","0.00","697","127.4","317","0.30","222","549"
"Chris Camozzi","19","9","0.47","0.476","263","0.20","643","95.2","425","0.05","544","550"
"Andrew Craig","8","3","0.38","0.464","318","0.53","484","121.0","335","0.19","354","551"
"Jason Knight","9","4","0.44","0.388","599","1.05","295","98.3","411","0.21","318","552"
"Joaquim Silva","6","4","0.67","0.349","687","0.08","685","24.3","688","0.15","406","553"
"Brian Kelleher","11","6","0.55","0.397","565","0.51","493","74.2","500","0.17","389","554"
"Teruto Ishihara","9","3","0.33","0.474","272","0.28","608","50.3","599","1.09","4","555"
"James Moontasri","7","2","0.29","0.497","208","0.00","697","110.4","370","0.38","142","556"
"Gray Maynard","11","4","0.36","0.321","716","1.97","112","160.8","235","0.37","158","557"
"Rampage Jackson","7","3","0.43","0.385","608","0.56","472","82.7","473","0.57","65","558"
"Rashad Evans","12","5","0.42","0.367","654","1.63","151","193.8","157","0.01","550","559"
"Jamie Varner","7","2","0.29","0.367","653","3.11","32","160.8","234","0.28","238","560"
"Kailin Curran","7","1","0.14","0.458","341","1.89","118","182.4","175","0.00","552","561"
"Francisco Rivera","10","4","0.40","0.438","414","0.59","458","27.3","677","0.44","116","562"
"Tyson Griffin","5","1","0.20","0.418","494","1.39","213","124.0","326","0.34","181","563"
"Jon Tuck","9","4","0.44","0.405","546","0.33","582","160.1","238","0.19","358","564"
"Shane Campbell","5","1","0.20","0.550","87","0.65","432","97.3","416","0.00","552","565"
"Damian Stasiak","6","2","0.33","0.443","389","1.55","171","116.1","347","0.00","552","565"
"Gian Villante","18","8","0.44","0.450","366","0.38","552","49.1","605","0.21","331","567"
"Ashley Yoder","9","3","0.33","0.409","522","1.07","292","235.1","99","0.11","474","568"
"Vaughan Lee","9","3","0.33","0.474","273","0.89","346","84.7","465","0.11","469","568"
"Henrique da Silva","6","2","0.33","0.584","44","0.14","661","88.2","450","0.00","552","570"
"George Sullivan","7","3","0.43","0.395","576","1.02","301","146.3","273","0.00","552","571"
"Julio Arce","5","3","0.60","0.349","686","0.25","618","69.5","527","0.10","484","572"
"Dhiego Lima","10","4","0.40","0.439","409","0.70","417","69.8","523","0.18","365","573"
"George Roop","10","4","0.40","0.396","573","0.68","421","150.0","263","0.19","348","574"
"Alexander Yakovlev","12","3","0.25","0.495","212","0.90","342","63.2","554","0.19","347","575"
"Chris Leben","8","3","0.38","0.450","367","0.57","469","133.3","303","0.14","437","576"
"Khalil Rountree Jr.","9","4","0.44","0.439","407","0.00","697","7.0","732","0.67","34","577"
"Megan Anderson","6","3","0.50","0.464","322","0.13","669","26.8","678","0.08","511","578"
"Marlon Moraes","9","5","0.56","0.377","630","0.25","628","18.7","703","0.43","120","579"
"Hyun Gyu Lim","7","3","0.43","0.436","422","0.14","664","9.8","728","0.68","29","580"
"Leandro Issa","5","2","0.40","0.372","640","1.50","185","164.2","223","0.00","552","581"
"Valerie Letourneau","6","3","0.50","0.384","615","0.58","460","74.4","499","0.14","431","582"
"Edwin Figueroa","6","2","0.33","0.446","376","0.13","669","148.3","266","0.27","251","583"
"Chris Gruetzemacher","5","2","0.40","0.573","62","0.00","697","23.3","693","0.00","552","584"
"Lucas Martins","7","4","0.57","0.368","649","0.00","697","8.8","730","0.40","135","585"
"Dan Henderson","11","4","0.36","0.448","371","0.40","535","61.3","559","0.42","122","586"
"Yves Edwards","10","4","0.40","0.397","569","0.37","567","99.4","408","0.41","129","587"
"Antonio Silva","10","3","0.30","0.537","102","0.00","697","28.0","673","0.35","177","588"
"Dong Hyun Ma","8","3","0.38","0.443","392","0.79","385","104.7","388","0.12","462","589"
"Lando Vannata","8","3","0.38","0.415","504","0.70","416","51.8","594","0.62","50","590"
"Rony Jason","9","4","0.44","0.453","358","0.20","644","70.0","522","0.13","450","591"
"Thiago Alves","15","6","0.40","0.404","549","0.51","494","65.6","542","0.43","121","592"
"Mirko Filipovic","5","2","0.40","0.427","457","0.07","689","116.7","344","0.25","280","593"
"Lorenz Larkin","10","5","0.50","0.436","424","0.05","694","23.2","694","0.18","368","594"
"Roxanne Modafferi","10","4","0.40","0.299","728","1.17","272","246.7","87","0.09","507","595"
"John Albert","5","1","0.20","0.536","104","0.00","697","29.0","668","0.37","146","596"
"Scott Jorgensen","12","4","0.33","0.410","516","1.52","184","141.5","281","0.06","537","597"
"Gasan Umalatov","6","2","0.33","0.428","455","1.29","239","124.3","324","0.00","552","598"
"Ernest Chavez","5","1","0.20","0.430","446","1.20","263","193.8","158","0.00","552","599"
"Polo Reyes","8","4","0.50","0.357","672","0.00","697","29.4","666","0.71","23","600"
"Erik Koch","10","5","0.50","0.368","651","0.23","632","59.5","564","0.30","226","601"
"Steven Peterson","5","2","0.40","0.309","724","1.53","178","178.4","184","0.00","552","602"
"Ion Cutelaba","9","4","0.44","0.410","518","0.99","313","47.7","610","0.11","481","603"
"Neil Seery","7","3","0.43","0.404","551","0.62","441","47.5","614","0.26","261","604"
"Marion Reneau","12","6","0.50","0.416","499","0.29","604","67.9","536","0.00","552","605"
"Matt Schnell","8","5","0.63","0.366","658","0.23","631","5.7","735","0.00","552","606"
"Jennifer Maia","6","3","0.50","0.401","556","0.13","669","108.2","380","0.00","552","607"
"Austin Hubbard","5","2","0.40","0.447","373","0.53","486","78.6","486","0.00","552","608"
"Jordan Rinaldi","5","2","0.40","0.369","646","1.05","297","161.5","230","0.00","552","609"
"Michael Johnson","24","11","0.46","0.386","607","0.37","562","42.4","627","0.42","125","610"
"Ben Saunders","15","6","0.40","0.507","178","0.08","688","25.8","681","0.09","502","611"
"Sheymon Moraes","5","2","0.40","0.458","344","0.00","697","26.3","680","0.30","225","612"
"Vitor Miranda","8","3","0.38","0.518","140","0.21","636","56.0","584","0.00","552","613"
"Jessica Aguilar","5","1","0.20","0.480","255","0.70","413","104.3","390","0.00","552","614"
"Damir Hadzovic","7","3","0.43","0.427","459","0.29","605","34.1","654","0.26","261","615"
"Markus Perez","7","2","0.29","0.483","243","0.83","368","70.5","518","0.00","552","616"
"Akira Corassani","7","3","0.43","0.465","314","0.30","596","44.4","622","0.00","552","617"
"Leslie Smith","7","4","0.57","0.356","676","0.00","697","37.6","639","0.21","328","618"
"Joe Duffy","8","4","0.50","0.345","695","0.25","618","36.4","645","0.37","160","619"
"Ross Pearson","24","10","0.42","0.409","520","0.63","439","53.1","589","0.21","327","620"
"Daniel Roberts","7","3","0.43","0.227","744","1.55","175","121.2","334","0.00","552","621"
"Luke Barnatt","7","3","0.43","0.398","562","0.48","501","25.0","683","0.34","185","622"
"Seth Baczynski","11","5","0.45","0.346","690","0.47","510","116.1","348","0.18","370","623"
"Douglas Silva de Andrade","8","4","0.50","0.359","665","0.46","512","17.4","706","0.24","283","624"
"Mike Easton","7","3","0.43","0.376","635","0.59","455","57.5","575","0.28","239","625"
"George Sotiropoulos","6","2","0.33","0.251","741","1.47","194","184.9","171","0.16","399","626"
"Charles Rosa","10","4","0.40","0.354","681","1.58","164","106.5","383","0.00","552","627"
"Daniel Sarafian","6","2","0.33","0.449","369","0.15","656","67.1","538","0.32","197","628"
"Marcus Brimage","8","4","0.50","0.366","657","0.47","509","17.0","708","0.21","319","629"
"Damien Brown","6","2","0.33","0.443","391","0.49","499","30.6","660","0.31","214","630"
"Joe Proctor","8","4","0.50","0.358","667","0.00","697","27.7","675","0.37","160","631"
"Dan Miller","8","3","0.38","0.336","706","1.12","280","133.5","302","0.20","336","632"
"Ashlee Evans-Smith","8","3","0.38","0.416","498","0.83","365","116.1","349","0.00","552","633"
"Cung Le","5","2","0.40","0.439","410","0.40","536","15.0","716","0.20","339","634"
"Paulo Thiago","10","2","0.20","0.404","547","1.31","233","95.8","424","0.23","305","635"
"Josh Neer","5","2","0.40","0.458","340","0.31","591","56.3","579","0.00","552","636"
"Minotauro Nogueira","6","2","0.33","0.392","585","0.27","611","103.7","394","0.47","95","637"
"Mark Godbeer","5","2","0.40","0.498","205","0.00","697","14.5","717","0.00","552","638"
"Josh Koscheck","9","3","0.33","0.335","707","1.36","221","194.3","155","0.07","530","639"
"Irene Aldana","9","5","0.56","0.396","572","0.33","581","12.3","726","0.06","540","640"
"Oluwale Bamgbose","5","1","0.20","0.488","227","0.20","640","17.2","707","0.33","190","641"
"Paul Sass","5","3","0.60","0.339","702","0.10","680","18.5","704","0.00","552","642"
"Sam Sicilia","12","5","0.42","0.367","656","0.81","378","115.9","350","0.08","522","642"
"Michihiro Omigawa","5","1","0.20","0.400","559","1.26","250","177.8","186","0.00","552","644"
"Yancy Medeiros","13","6","0.46","0.365","659","0.07","692","30.0","664","0.66","39","645"
"Brad Pickett","14","5","0.36","0.305","726","1.29","241","121.3","333","0.21","326","646"
"Jordan Espinosa","6","2","0.33","0.481","248","0.57","466","27.5","676","0.00","552","647"
"Daniel Teymur","5","1","0.20","0.486","233","0.25","618","107.7","381","0.00","552","648"
"Gadzhimurad Antigulov","7","3","0.43","0.395","575","0.86","354","56.3","580","0.00","552","649"
"Walt Harris","14","6","0.43","0.381","622","0.12","676","19.0","702","0.68","33","650"
"Zak Ottow","9","4","0.44","0.394","580","0.35","572","56.2","581","0.18","369","651"
"Justin Ledet","8","4","0.50","0.423","474","0.12","674","13.7","720","0.00","552","652"
"Bradley Scott","8","3","0.38","0.414","506","0.37","569","146.6","271","0.09","498","653"
"Kevin Aguilar","5","2","0.40","0.385","611","0.15","658","68.5","532","0.37","146","654"
"Frank Camacho","6","2","0.33","0.437","421","0.96","329","65.4","543","0.00","552","655"
"Sam Stout","12","5","0.42","0.301","727","0.74","403","90.0","442","0.21","332","656"
"Mara Romero Borella","7","2","0.29","0.412","509","0.99","316","127.9","316","0.00","552","657"
"Rafaello Oliveira","6","1","0.17","0.335","708","2.14","93","274.4","60","0.00","552","658"
"Richie Vaculik","5","2","0.40","0.400","561","0.80","380","70.6","517","0.00","552","659"
"Bec Rawlings","7","2","0.29","0.464","319","0.38","549","98.3","412","0.00","552","660"
"Ivan Menjivar","8","4","0.50","0.392","589","0.21","634","19.5","701","0.12","456","660"
"Gina Mazany","6","2","0.33","0.404","552","1.07","290","103.3","395","0.00","552","662"
"Ariane Lipski","5","2","0.40","0.326","714","0.37","555","160.5","237","0.15","417","663"
"Anthony Birchak","5","2","0.40","0.383","616","0.37","555","28.5","672","0.35","175","664"
"Joshua Burkman","8","1","0.13","0.434","431","1.30","236","102.0","400","0.01","551","665"
"Veronica Macedo","5","1","0.20","0.483","242","0.33","583","75.8","496","0.00","552","666"
"Yoshihiro Akiyama","6","1","0.17","0.346","692","2.21","83","193.6","159","0.00","552","667"
"DaMarques Johnson","8","3","0.38","0.388","601","0.48","502","83.4","471","0.23","298","668"
"Tae Hyun Bang","5","2","0.40","0.383","618","0.25","618","22.1","696","0.45","106","669"
"Sarah Moras","9","3","0.33","0.400","560","0.64","436","134.1","300","0.00","552","670"
"Johnny Eduardo","8","4","0.50","0.357","670","0.00","697","4.4","738","0.24","288","671"
"Godofredo Pepey","11","5","0.45","0.406","537","0.16","655","59.4","566","0.09","504","672"
"Jared Hamman","6","2","0.33","0.410","517","0.32","587","104.3","389","0.16","399","673"
"Viktor Pesta","6","1","0.17","0.364","661","1.52","182","195.2","154","0.00","552","674"
"Cody McKenzie","7","3","0.43","0.251","742","0.92","340","82.3","474","0.00","552","675"
"Lucie Pudilova","7","2","0.29","0.407","532","0.07","690","120.4","337","0.27","257","676"
"Mizuto Hirota","6","1","0.17","0.372","639","1.43","200","167.4","209","0.00","552","677"
"Jason High","5","2","0.40","0.337","704","0.55","476","123.8","327","0.00","552","678"
"Amanda Cooper","7","3","0.43","0.369","648","0.38","551","86.8","453","0.00","552","679"
"Shane Roller","6","2","0.33","0.313","719","0.52","492","97.0","419","0.32","197","680"
"Joey Beltran","8","2","0.25","0.416","500","0.37","566","172.3","196","0.00","552","681"
"Tom Watson","7","2","0.29","0.458","342","0.00","697","75.3","497","0.14","441","682"
"Fabricio Camoes","5","1","0.20","0.338","703","2.45","60","113.8","361","0.00","552","683"
"Cole Miller","12","5","0.42","0.346","691","0.38","546","57.0","577","0.23","304","684"
"Brendan O'Reilly","5","1","0.20","0.385","610","1.00","307","141.9","279","0.00","552","685"
"Ji Yeon Kim","6","3","0.50","0.340","700","0.00","697","58.5","570","0.08","511","686"
"Jack Marshman","9","4","0.44","0.312","720","0.00","697","3.3","740","0.55","69","687"
"Yaotzin Meza","6","2","0.33","0.349","684","0.72","409","154.0","255","0.00","552","688"
"Matt Hobar","5","2","0.40","0.357","673","0.60","452","85.5","462","0.00","552","689"
"Niklas Backstrom","5","2","0.40","0.444","384","0.00","697","19.5","700","0.00","552","690"
"David Mitchell","5","1","0.20","0.420","485","0.90","344","80.1","482","0.00","552","690"
"Hannah Cifers","7","2","0.29","0.461","334","0.13","667","52.5","591","0.14","441","692"
"Henry Briones","5","1","0.20","0.446","378","0.00","697","12.7","724","0.37","146","693"
"Milana Dudieva","5","2","0.40","0.281","735","1.00","307","70.6","516","0.00","552","694"
"Karolina Kowalkiewicz","11","5","0.45","0.391","591","0.09","683","64.2","548","0.00","552","695"
"Emily Whitmire","5","2","0.40","0.388","600","0.33","583","81.1","479","0.00","552","696"
"Spencer Fisher","5","1","0.20","0.447","375","0.45","515","66.0","541","0.05","542","697"
"Cyril Asker","5","2","0.40","0.369","644","0.57","465","66.4","540","0.00","552","698"
"Dustin Pague","6","1","0.17","0.471","283","0.36","570","65.2","544","0.00","552","699"
"Eddie Wineland","15","6","0.40","0.281","734","0.20","642","25.0","682","0.49","85","700"
"Anthony Njokuani","9","3","0.33","0.435","427","0.45","518","16.6","711","0.11","470","701"
"Blagoy Ivanov","5","2","0.40","0.343","699","0.60","452","44.8","621","0.15","417","702"
"Kyle Bochniak","7","2","0.29","0.336","705","0.94","334","57.1","576","0.28","239","703"
"Ryan Benoit","8","3","0.38","0.359","664","0.12","673","49.6","603","0.44","113","704"
"Clay Collard","5","1","0.20","0.311","723","1.40","209","89.7","444","0.15","417","705"
"Bojan Velickovic","5","2","0.40","0.346","689","0.53","486","32.9","655","0.15","417","706"
"Artem Lobov","8","3","0.38","0.358","668","0.30","602","138.1","289","0.00","552","707"
"Rogerio Nogueira","13","5","0.38","0.375","636","0.08","686","24.4","685","0.40","133","708"
"Dan Hardy","6","2","0.33","0.332","710","0.37","561","95.1","426","0.21","334","709"
"Rodrigo Damm","8","3","0.38","0.406","534","0.47","506","38.1","638","0.00","552","710"
"Karlos Vemola","6","2","0.33","0.392","587","0.65","434","58.4","572","0.00","552","711"
"Tito Ortiz","5","1","0.20","0.312","722","0.94","336","88.3","449","0.18","376","712"
"Joe Soto","8","3","0.38","0.404","550","0.44","520","45.8","619","0.00","552","713"
"Jessica Eye","13","5","0.38","0.370","643","0.38","550","86.2","456","0.00","552","714"
"Shana Dobson","6","2","0.33","0.367","652","0.32","589","20.1","698","0.32","197","715"
"Chase Sherman","8","3","0.38","0.422","478","0.00","697","24.4","686","0.12","461","716"
"Cortney Casey","14","5","0.36","0.424","468","0.24","629","37.3","643","0.00","552","717"
"Mark Hominick","5","1","0.20","0.376","634","0.17","649","53.1","590","0.37","146","718"
"Maki Pitolo","5","1","0.20","0.406","540","0.67","423","59.0","567","0.00","552","719"
"Tyson Nam","5","2","0.40","0.296","730","0.00","697","29.1","667","0.25","268","720"
"Alessio Sakara","5","1","0.20","0.407","530","0.02","695","9.7","729","0.39","141","721"
"Mike de la Torre","6","2","0.33","0.397","568","0.16","654","46.8","616","0.15","406","722"
"Mark De La Rosa","7","2","0.29","0.419","487","0.38","547","50.0","601","0.00","552","723"
"BJ Penn","10","1","0.10","0.396","574","0.50","496","82.2","475","0.15","428","724"
"Sean Spencer","8","3","0.38","0.312","721","0.11","677","46.7","617","0.27","260","725"
"Duane Ludwig","6","2","0.33","0.397","566","0.14","661","49.8","602","0.08","519","726"
"Rafael Feijao","5","1","0.20","0.430","447","0.00","697","5.5","737","0.17","378","727"
"Elizabeth Phillips","5","1","0.20","0.285","732","0.20","640","176.8","188","0.00","552","728"
"Dustin Kimura","5","2","0.40","0.282","733","0.30","598","37.3","642","0.00","552","729"
"KJ Noons","5","2","0.40","0.365","660","0.00","697","0.5","743","0.07","525","730"
"Yosdenis Cedeno","5","1","0.20","0.328","713","0.00","697","71.1","512","0.25","268","731"
"Vik Grujic","5","2","0.40","0.245","743","0.25","618","27.9","674","0.00","552","732"
"Danielle Taylor","5","2","0.40","0.261","740","0.37","555","0.4","744","0.00","552","733"
"Nam Phan","8","2","0.25","0.406","538","0.12","674","55.3","586","0.00","552","734"
"Joby Sanchez","6","1","0.17","0.278","736","0.29","603","26.4","679","0.46","103","735"
"Mitch Clarke","7","2","0.29","0.299","729","0.42","528","79.0","484","0.00","552","736"
"Brandon Davis","7","2","0.29","0.376","633","0.35","574","24.5","684","0.00","552","737"
"Takanori Gomi","13","4","0.31","0.345","694","0.08","686","46.3","618","0.15","414","738"
"Leonard Garcia","6","1","0.17","0.263","739","0.49","499","56.4","578","0.14","431","739"
"Yao Zhikui","5","1","0.20","0.271","738","0.15","658","89.0","447","0.00","552","740"
"Thibault Gouti","6","1","0.17","0.333","709","0.33","580","38.9","634","0.13","451","741"
"Albert Morales","6","1","0.17","0.340","701","0.30","594","67.8","537","0.00","552","742"
"Matt Dwyer","5","1","0.20","0.186","745","0.00","697","3.6","739","0.25","268","743"
"Gilbert Melendez","7","1","0.14","0.290","731","0.55","475","54.4","587","0.00","552","744"
"John Phillips","6","1","0.17","0.277","737","0.00","697","13.2","723","0.27","251","745"
